mal_id,title,title_english,title_japanese,genres,url,item_idx
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,"['Action', 'Adventure', 'Drama', 'Fantasy']",https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,2855.0
11061,Hunter x Hunter (2011),Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,"['Action', 'Adventure', 'Fantasy']",https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,4002.0
38524,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,進撃の巨人 Season3 Part.2,"['Action', 'Drama', 'Suspense']",https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,7144.0
9253,Steins;Gate,Steins;Gate,STEINS;GATE,"['Drama', 'Sci-Fi', 'Suspense']",https://myanimelist.net/anime/9253/Steins_Gate,3629.0
28851,Koe no Katachi,A Silent Voice,聲の形,"['Award Winning', 'Drama']",https://myanimelist.net/anime/28851/Koe_no_Katachi,5385.0
32281,Kimi no Na wa.,Your Name.,君の名は。,"['Award Winning', 'Drama']",https://myanimelist.net/anime/32281/Kimi_no_Na_wa,5848.0
2904,Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,コードギアス 反逆のルルーシュ R2,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,2110.0
40028,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season,進撃の巨人 The Final Season,"['Action', 'Drama', 'Suspense']",https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,7456.0
199,Sen to Chihiro no Kamikakushi,Spirited Away,千と千尋の神隠し,"['Adventure', 'Award Winning', 'Fantasy']",https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,169.0
1575,Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,コードギアス 反逆のルルーシュ,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,1247.0
1535,Death Note,Death Note,デスノート,"['Supernatural', 'Suspense']",https://myanimelist.net/anime/1535/Death_Note,1217.0
37510,Mob Psycho 100 II,Mob Psycho 100 II,モブサイコ100 II,"['Action', 'Comedy', 'Supernatural']",https://myanimelist.net/anime/37510/Mob_Psycho_100_II,6906.0
35760,Shingeki no Kyojin Season 3,Attack on Titan Season 3,進撃の巨人 Season3,"['Action', 'Drama', 'Suspense']",https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,6539.0
23273,Shigatsu wa Kimi no Uso,Your Lie in April,四月は君の嘘,"['Drama', 'Romance']",https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,5059.0
1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,"['Action', 'Award Winning', 'Sci-Fi']",https://myanimelist.net/anime/1/Cowboy_Bebop,0.0
37521,Vinland Saga,,ヴィンランド・サガ,"['Action', 'Adventure', 'Drama']",https://myanimelist.net/anime/37521/Vinland_Saga,6912.0
16498,Shingeki no Kyojin,Attack on Titan,進撃の巨人,"['Action', 'Award Winning', 'Drama', 'Suspense']",https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,4527.0
47778,Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,鬼滅の刃 遊郭編,"['Action', 'Supernatural']",https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,8126.0
33352,Violet Evergarden,Violet Evergarden,ヴァイオレット・エヴァーガーデン,['Drama'],https://myanimelist.net/anime/33352/Violet_Evergarden,6078.0
40748,Jujutsu Kaisen,Jujutsu Kaisen,呪術廻戦,"['Action', 'Award Winning', 'Supernatural']",https://myanimelist.net/anime/40748/Jujutsu_Kaisen,7620.0
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,['Sports'],https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,5963.0
48583,Shingeki no Kyojin: The Final Season Part 2,Attack on Titan: Final Season Part 2,進撃の巨人 The Final Season Part 2,"['Action', 'Drama', 'Suspense']",https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,8176.0
25777,Shingeki no Kyojin Season 2,Attack on Titan Season 2,進撃の巨人 Season2,"['Action', 'Drama', 'Suspense']",https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,5227.0
52991,Sousou no Frieren,Frieren: Beyond Journey's End,葬送のフリーレン,"['Adventure', 'Drama', 'Fantasy']",https://myanimelist.net/anime/52991/Sousou_no_Frieren,8776.0
431,Howl no Ugoku Shiro,Howl's Moving Castle,ハウルの動く城,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,374.0
4181,Clannad: After Story,Clannad: After Story,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,"['Drama', 'Romance']",https://myanimelist.net/anime/4181/Clannad__After_Story,2623.0
30276,One Punch Man,One Punch Man,ワンパンマン,"['Action', 'Comedy']",https://myanimelist.net/anime/30276/One_Punch_Man,5495.0
28891,Haikyuu!! Second Season,Haikyu!! 2nd Season,ハイキュー!! セカンドシーズン,['Sports'],https://myanimelist.net/anime/28891/Haikyuu_Second_Season,5391.0
2001,Tengen Toppa Gurren Lagann,Gurren Lagann,天元突破グレンラガン,"['Action', 'Adventure', 'Award Winning', 'Sci-Fi']",https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,1556.0
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,劇場版 鬼滅の刃 無限列車編,"['Action', 'Supernatural']",https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,7550.0
164,Mononoke Hime,Princess Mononoke,もののけ姫,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",https://myanimelist.net/anime/164/Mononoke_Hime,137.0
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War?,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,"['Comedy', 'Romance']",https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,7584.0
51009,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,呪術廻戦 懐玉・玉折／渋谷事変,"['Action', 'Supernatural']",https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,8546.0
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,かぐや様は告らせたい-ウルトラロマンティック-,"['Comedy', 'Romance']",https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,7976.0
32182,Mob Psycho 100,Mob Psycho 100,モブサイコ100,"['Action', 'Comedy', 'Supernatural']",https://myanimelist.net/anime/32182/Mob_Psycho_100,5831.0
38000,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,"['Action', 'Award Winning', 'Supernatural']",https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,7035.0
34599,Made in Abyss,Made in Abyss,メイドインアビス,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",https://myanimelist.net/anime/34599/Made_in_Abyss,6333.0
37779,Yakusoku no Neverland,The Promised Neverland,約束のネバーランド,"['Mystery', 'Suspense']",https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,6965.0
20583,Haikyuu!!,Haikyu!!,ハイキュー!!,['Sports'],https://myanimelist.net/anime/20583/Haikyuu,4838.0
50265,Spy x Family,,SPY×FAMILY,"['Action', 'Award Winning', 'Comedy']",https://myanimelist.net/anime/50265/Spy_x_Family,8422.0
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,JoJo's Bizarre Adventure: Golden Wind,ジョジョの奇妙な冒険 黄金の風,"['Action', 'Adventure']",https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,7027.0
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,無職転生 ～異世界行ったら本気だす～ 第2クール,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']",https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,8072.0
30654,Ansatsu Kyoushitsu 2nd Season,Assassination Classroom Second Season,暗殺教室　第２期,"['Action', 'Comedy']",https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,5552.0
11741,Fate/Zero 2nd Season,Fate/Zero Season 2,フェイト/ゼロ 2ndシーズン,"['Action', 'Fantasy']",https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,4073.0
44511,Chainsaw Man,Chainsaw Man,チェンソーマン,"['Action', 'Fantasy']",https://myanimelist.net/anime/44511/Chainsaw_Man,8045.0
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,JoJo's Bizarre Adventure: Diamond Is Unbreakable,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,"['Action', 'Adventure']",https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,5796.0
19,Monster,Monster,モンスター,"['Drama', 'Mystery', 'Suspense']",https://myanimelist.net/anime/19/Monster,9.0
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,"['Comedy', 'Romance']",https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,7034.0
42310,Cyberpunk: Edgerunners,,サイバーパンク エッジランナーズ,"['Action', 'Sci-Fi']",https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,7861.0
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion,"新世紀エヴァンゲリオン劇場版 Air / まごころを, 君に","['Action', 'Avant Garde', 'Drama', 'Sci-Fi', 'Suspense']",https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni,21.0
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Attack on Titan: Final Season - The Final Chapters,進撃の巨人 The Final Season完結編,"['Action', 'Drama', 'Suspense']",https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,8624.0
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,"['Action', 'Adventure']",https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_-_Egypt-hen,5247.0
36098,Kimi no Suizou wo Tabetai,I Want To Eat Your Pancreas,君の膵臓をたべたい,"['Drama', 'Romance']",https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,6604.0
